дата,ХВС,диф,ГВС,диф,,Элетро,
26.02.2018,46,,49,,,,
25.03.2018,49,3,52,3,,20100,
26.04.2018,54,5,57,5,,20182,82
23.05.2018,59,5,60,3,,20251,69
24.06.2018,63,4,64,4,,20322,71
25.07.2018,66,3,67,3,,,"84,5"
25.08.2018,70,4,70,3,,20491,"84,5"
26.09.2018,75,5,74,4,,,"69,5"
23.10.2018,78,3,76,2,,20630,"69,5"
26.11.2018,83,5,79,3,,,"78,5"
20.12.2018,87,4,82,3,,20787,"78,5"
25.01.2019,,3,,"3,5",,,83
25.02.2019,93,3,89,"3,5",,20953,83
27.03.2019,97,4,93,4,,21090,137
,,3,,"3,5",,,"68,5"
24.05.2019,103,3,100,"3,5",,21227,"68,5"
25.06.2019,106,3,105,5,,21304,77
25.07.2019,,"3,333333333",,3,,,"82,2"
25.08.2019,,"3,333333333",,3,,,"82,2"
25.09.2019,116,"3,333333333",114,3,,,"82,2"
25.10.2019,,"3,5",,4,,,"82,2"
26.11.2019,123,"3,5",122,4,,21715,"82,2"
20.12.2019,125,2,125,3,,21776,61
25.01.2020,,"3,5",,3,,,78
25.02.2020,132,"3,5",131,3,,21932,78
25.03.2020,136,4,135,4,,22014,82
24.04.2020,140,4,140,5,,22128,114
25.05.2020,145,5,144,4,,22261,133
25.06.2020,150,5,150,6,,22387,126
24.07.2020,153,3,152,2,,22467,80
25.08.2020,160,7,158,6,,22591,124
25.09.2020,165,5,164,6,,22752,161
25.10.2020,171,6,168,4,,22873,121
25.11.2020,,1,,"0,5",,,"53,5"
25.12.2020,173,1,169,"0,5",,22980,"53,5"
26.01.2021,179,6,174,5,,23122,142
25.02.2021,184,5,180,6,,23270,148
25.03.2021,189,5,185,5,,23386,116
25.04.2021,,"5,5",,5,,23489,103
25.05.2021,200,"5,5",195,5,,,106
25.06.2021,,"3,5",,"2,5",,,106
23.07.2021,207,"3,5",200,"2,5",,23807,106
25.08.2021,,6,,1,,,"129,5"
24.09.2021,219,6,202,1,,24066,"129,5"
26.10.2021,225,6,205,3,,24190,124
26.11.2021,233,8,210,5,,24330,140
27.12.2021,,"8,5",,"7,5",,24483,153
24.01.2022,250,"8,5",225,"7,5",,24620,137
28.02.2022,260,10,232,7,,24769,149
26.03.2022,265,5,236,4,,24878,109
,,"7,5",,6,,,116
27.05.2022,280,"7,5",248,6,,25110,116
,,4,,3,,,"102,5"
07.07.2022,288,4,254,3,,25315,"102,5"
,,"2,5",,"2,5",,,"118,5"
27.09.2022,293,"2,5",259,"2,5",,25552,"118,5"
25.10.2022,299,6,265,6,,25552,"114,75"
25.11.2022,,"1,5",,"1,5",,,"114,75"
31.12.2022,302,"1,5",268,"1,5",,,"114,75"
26.01.2023,307,5,274,6,,26011,"114,75"
